Working... ━                                          3% 0:02:00
         2807150 function calls (2787663 primitive calls) in 4.346 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   267925    1.405    0.000    4.887    0.000 {method 'sum' of 'numpy.ndarray' objects}
        1    0.000    0.000    4.347    4.347 main.py:1(<module>)
       52    0.002    0.000    0.893    0.017 __init__.py:1(<module>)
    89400    0.696    0.000    0.719    0.000 kernel.py:9(W_poly6)
    89400    0.525    0.000    0.627    0.000 kernel.py:24(dW_spiky)
    630/8    0.001    0.000    0.595    0.074 <frozen importlib._bootstrap>:1165(_find_and_load)
    625/8    0.001    0.000    0.595    0.074 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
   600/10    0.001    0.000    0.594    0.059 <frozen importlib._bootstrap>:666(_load_unlocked)
   510/10    0.001    0.000    0.594    0.059 <frozen importlib._bootstrap_external>:934(exec_module)
  1500/18    0.000    0.000    0.591    0.033 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   526/52    0.000    0.000    0.525    0.010 {built-in method builtins.__import__}
267925/267924    0.037    0.000    0.496    0.000 _methods.py:47(_sum)
  674/131    0.001    0.000    0.473    0.004 <frozen importlib._bootstrap>:1207(_handle_fromlist)
   267942    0.460    0.000    0.460    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    89124    0.387    0.000    0.387    0.000 kernel.py:29(lW_viscosity)
        1    0.000    0.000    0.276    0.276 pyplot.py:1(<module>)
1429/1318    0.011    0.000    0.226    0.000 {built-in method builtins.__build_class__}
      105    0.000    0.000    0.165    0.002 artist.py:159(_update_set_signature_and_docstring)
      104    0.000    0.000    0.162    0.002 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.135    0.135 colorbar.py:1(<module>)
      117    0.000    0.000    0.128    0.001 artist.py:1837(kwdoc)
      510    0.002    0.000    0.121    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.118    0.118 figure.py:1(<module>)
      117    0.003    0.000    0.109    0.001 artist.py:1598(pprint_setters)
    89998    0.079    0.000    0.098    0.000 numeric.py:67(zeros_like)
        1    0.000    0.000    0.094    0.094 pyplot.py:1444(subplots)
     4252    0.007    0.000    0.089    0.000 artist.py:1470(get_valid_values)
        1    0.000    0.000    0.089    0.089 contour.py:1(<module>)
      9/7    0.000    0.000    0.083    0.012 __init__.py:108(import_module)
      9/7    0.000    0.000    0.083    0.012 <frozen importlib._bootstrap>:1192(_gcd_import)
        1    0.000    0.000    0.083    0.083 backend_bases.py:1(<module>)
      510    0.001    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.080    0.080 pyplot.py:777(figure)
        1    0.000    0.000    0.080    0.080 pyplot.py:462(new_figure_manager)
  600/596    0.001    0.000    0.080    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        2    0.000    0.000    0.075    0.037 text.py:1(<module>)
    85/84    0.000    0.000    0.073    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
    85/84    0.070    0.001    0.073    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.070    0.070 backend_bases.py:3395(new_figure_manager)
      3/1    0.000    0.000    0.070    0.070 __init__.py:187(__getattr__)
        1    0.000    0.000    0.070    0.070 backend_bases.py:3404(new_figure_manager_given_figure)
        1    0.000    0.000    0.070    0.070 backend_bases.py:1774(new_manager)
        1    0.043    0.043    0.070    0.070 backend_bases.py:2678(create_with_canvas)
      510    0.066    0.000    0.066    0.000 {method 'read' of '_io.BufferedReader' objects}
     7307    0.039    0.000    0.063    0.000 inspect.py:867(cleandoc)
    85/53    0.000    0.000    0.062    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
    85/53    0.005    0.000    0.062    0.001 {built-in method _imp.exec_dynamic}
     7315    0.003    0.000    0.059    0.000 inspect.py:848(getdoc)
        1    0.000    0.000    0.057    0.057 rcsetup.py:1(<module>)
      619    0.002    0.000    0.050    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.048    0.048 patches.py:1(<module>)
        1    0.000    0.000    0.046    0.046 _kdtree.py:1(<module>)
      616    0.000    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      616    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.042    0.042 collections.py:1(<module>)
      223    0.000    0.000    0.042    0.000 artist.py:1422(__init__)
      223    0.007    0.000    0.042    0.000 artist.py:1442(get_aliases)
      893    0.004    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.000    0.000    0.039    0.039 progress.py:1(<module>)
        1    0.000    0.000    0.037    0.037 _axes.py:1(<module>)
        1    0.000    0.000    0.034    0.034 colors.py:1(<module>)
        1    0.000    0.000    0.033    0.033 console.py:1(<module>)
     6833    0.003    0.000    0.033    0.000 __init__.py:272(_compile)
      510    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      510    0.031    0.000    0.031    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.030    0.030 _laplacian.py:1(<module>)
        2    0.000    0.000    0.030    0.015 __config__.py:1(<module>)
        2    0.000    0.000    0.029    0.015 _base.py:1(<module>)
      233    0.001    0.000    0.028    0.000 _compiler.py:738(compile)
      223    0.010    0.000    0.028    0.000 artist.py:1517(get_setters)
      298    0.001    0.000    0.027    0.000 distance.py:2674(cdist)
     5768    0.002    0.000    0.026    0.000 __init__.py:173(search)
      298    0.026    0.000    0.026    0.000 {built-in method scipy.spatial._distance_pybind.cdist_euclidean}
        1    0.000    0.000    0.025    0.025 axes3d.py:1(<module>)
        1    0.012    0.012    0.025    0.025 backend_macosx.py:152(__init__)
    89576    0.023    0.000    0.023    0.000 {method 'copy' of 'numpy.ndarray' objects}
     2262    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2274    0.022    0.000    0.022    0.000 {built-in method posix.stat}
        3    0.000    0.000    0.021    0.007 core.py:1(<module>)
        9    0.000    0.000    0.021    0.002 _base.py:729(__init_subclass__)
        1    0.000    0.000    0.020    0.020 Image.py:1(<module>)
        1    0.000    0.000    0.020    0.020 _fontconfig_pattern.py:1(<module>)
      233    0.001    0.000    0.018    0.000 _parser.py:972(parse)
      136    0.001    0.000    0.017    0.000 _docstring.py:38(__call__)
      712    0.000    0.000    0.017    0.000 inspect.py:3278(signature)
  126/115    0.000    0.000    0.017    0.000 _docstring.py:79(__call__)
      712    0.000    0.000    0.017    0.000 inspect.py:3024(from_callable)
  530/233    0.001    0.000    0.017    0.000 _parser.py:449(_parse_sub)
  796/722    0.002    0.000    0.017    0.000 inspect.py:2428(_signature_from_callable)
  575/240    0.006    0.000    0.016    0.000 _parser.py:509(_parse)
        1    0.000    0.000    0.016    0.016 lgmres.py:1(<module>)
      756    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      808    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       30    0.004    0.000    0.015    0.000 __init__.py:847(_rc_params_in_file)
      223    0.008    0.000    0.014    0.000 artist.py:1453(<listcomp>)
      510    0.013    0.000    0.013    0.000 {built-in method io.open_code}
       12    0.000    0.000    0.013    0.001 _docstring.py:51(__missing__)
        1    0.000    0.000    0.013    0.013 figure.py:799(subplots)
        1    0.000    0.000    0.013    0.013 gridspec.py:264(subplots)
        1    0.000    0.000    0.013    0.013 figure.py:658(add_subplot)
       83    0.000    0.000    0.013    0.000 __init__.py:225(compile)
        1    0.000    0.000    0.013    0.013 _base.py:569(__init__)
        1    0.000    0.000    0.013    0.013 art3d.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _geometric_slerp.py:1(<module>)
     9938    0.012    0.000    0.012    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.012    0.012 distance.py:1(<module>)
      454    0.012    0.000    0.012    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.012    0.012 index_tricks.py:1(<module>)
1456/1315    0.001    0.000    0.012    0.000 typing.py:352(inner)
        1    0.000    0.000    0.011    0.011 _base.py:1381(clear)
        1    0.000    0.000    0.011    0.011 _base.py:1254(__clear)
      708    0.004    0.000    0.011    0.000 inspect.py:2333(_signature_from_function)
        1    0.000    0.000    0.011    0.011 _pickle.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _axes.py:46(Axes)
    90596    0.011    0.000    0.011    0.000 {built-in method numpy.zeros}
       51    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
       51    0.010    0.000    0.010    0.000 {built-in method posix.listdir}
        2    0.000    0.000    0.010    0.005 core.py:206(read_style_directory)
        1    0.000    0.000    0.010    0.010 pyplot.py:439(_warn_if_gui_out_of_main_thread)
        3    0.000    0.000    0.010    0.003 pyplot.py:270(_get_backend_mod)
      2/1    0.000    0.000    0.010    0.010 pyplot.py:284(switch_backend)
        1    0.000    0.000    0.010    0.010 geo.py:1(<module>)
        1    0.000    0.000    0.010    0.010 axis.py:1(<module>)
        1    0.000    0.000    0.010    0.010 defmatrix.py:1(<module>)
     6272    0.006    0.000    0.009    0.000 inspect.py:2686(__init__)
      233    0.000    0.000    0.009    0.000 _compiler.py:571(_code)
        1    0.000    0.000    0.009    0.009 pretty.py:1(<module>)
    78032    0.009    0.000    0.009    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.009    0.009 offsetbox.py:1(<module>)
        1    0.000    0.000    0.009    0.009 linalg.py:1(<module>)
        1    0.000    0.000    0.009    0.009 backend_macosx.py:1(<module>)
        1    0.000    0.000    0.008    0.008 font_manager.py:1(<module>)
        1    0.000    0.000    0.008    0.008 multiarray.py:1(<module>)
      976    0.001    0.000    0.008    0.000 __init__.py:711(__setitem__)
        1    0.000    0.000    0.008    0.008 __init__.py:240(_check_versions)
      437    0.000    0.000    0.007    0.000 artist.py:1536(number_of_parameters)
        1    0.000    0.000    0.007    0.007 polar.py:1(<module>)
    98245    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.007    0.002 patches.py:2211(__init_subclass__)
        1    0.000    0.000    0.007    0.007 lines.py:1(<module>)
        6    0.000    0.000    0.007    0.001 patches.py:2253(pprint_styles)
        1    0.000    0.000    0.007    0.007 overrides.py:1(<module>)
        1    0.000    0.000    0.007    0.007 backend_bases.py:2641(__init__)
        1    0.000    0.000    0.007    0.007 image.py:1(<module>)
78568/78566    0.005    0.000    0.007    0.000 {built-in method builtins.isinstance}
        1    0.007    0.007    0.007    0.007 backend_macosx.py:120(__init__)
153669/152382    0.007    0.000    0.007    0.000 {built-in method builtins.len}
       94    0.000    0.000    0.007    0.000 __init__.py:1391(_preprocess_data)
 1237/233    0.003    0.000    0.007    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.007    0.007 themes.py:1(<module>)
        6    0.000    0.000    0.007    0.001 patches.py:2257(<listcomp>)
      954    0.000    0.000    0.006    0.000 artist.py:1542(is_alias)
      105    0.001    0.000    0.006    0.000 artist.py:170(<listcomp>)
      600    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        1    0.000    0.000    0.006    0.006 layout_engine.py:1(<module>)
        1    0.000    0.000    0.006    0.006 scale.py:1(<module>)
  288/207    0.000    0.000    0.006    0.000 typing.py:479(__getitem__)
        1    0.000    0.000    0.006    0.006 numerictypes.py:1(<module>)
        2    0.000    0.000    0.006    0.003 table.py:1(<module>)
18763/18754    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.005    0.005 _constrained_layout.py:1(<module>)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
    77888    0.005    0.000    0.005    0.000 {method 'lstrip' of 'str' objects}
     4252    0.003    0.000    0.005    0.000 artist.py:1555(aliased_name)
        1    0.000    0.000    0.005    0.005 textpath.py:1(<module>)
        1    0.005    0.005    0.005    0.005 {built-in method set_icon}
      957    0.004    0.000    0.005    0.000 inspect.py:2972(__init__)
    55172    0.005    0.000    0.005    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.005    0.005 _log_render.py:1(<module>)
       14    0.000    0.000    0.005    0.000 dataclasses.py:1219(wrap)
       14    0.000    0.000    0.005    0.000 dataclasses.py:884(_process_class)
        2    0.000    0.000    0.005    0.003 axis.py:882(clear)
        1    0.000    0.000    0.005    0.005 axis3d.py:1(<module>)
        1    0.000    0.000    0.005    0.005 category.py:1(<module>)
      207    0.000    0.000    0.005    0.000 typing.py:658(Union)
      484    0.001    0.000    0.005    0.000 typing.py:1353(__init__)
     4693    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    90033    0.005    0.000    0.005    0.000 multiarray.py:1080(copyto)
        1    0.000    0.000    0.005    0.005 ticker.py:1(<module>)
3440/3000    0.002    0.000    0.005    0.000 {built-in method __new__ of type object at 0x1010b55f0}
        1    0.000    0.000    0.005    0.005 iterative.py:1(<module>)
        1    0.000    0.000    0.005    0.005 secrets.py:1(<module>)
        2    0.000    0.000    0.005    0.002 axis.py:794(_set_scale)
        1    0.000    0.000    0.005    0.005 _rotation_groups.py:1(<module>)
        2    0.000    0.000    0.005    0.002 scale.py:103(set_default_locators_and_formatters)
    89998    0.005    0.000    0.005    0.000 numeric.py:63(_zeros_like_dispatcher)
     1020    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        2    0.000    0.000    0.004    0.002 ticker.py:425(__init__)
        2    0.000    0.000    0.004    0.002 ticker.py:537(set_useMathText)
        1    0.000    0.000    0.004    0.004 _type_aliases.py:1(<module>)
     1193    0.002    0.000    0.004    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.004    0.004 quiver.py:1(<module>)
        2    0.000    0.000    0.004    0.002 font_manager.py:1233(findfont)
        1    0.001    0.001    0.004    0.004 font_manager.py:1393(_findfont_cached)
        1    0.000    0.000    0.004    0.004 helpers.py:1(<module>)
        1    0.000    0.000    0.004    0.004 subprocess.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _internal.py:1(<module>)
    89998    0.004    0.000    0.004    0.000 multiarray.py:85(empty_like)
        1    0.000    0.000    0.004    0.004 default_styles.py:1(<module>)
       39    0.000    0.000    0.004    0.000 enum.py:497(__new__)
        1    0.000    0.000    0.004    0.004 _parser.py:1(<module>)
      6/4    0.000    0.000    0.004    0.001 axis.py:575(__get__)
        6    0.000    0.000    0.004    0.001 axis.py:1555(_get_tick)
        1    0.000    0.000    0.004    0.004 numeric.py:1(<module>)
        1    0.000    0.000    0.004    0.004 cm.py:1(<module>)
        1    0.000    0.000    0.004    0.004 transforms.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ExifTags.py:1(<module>)
       48    0.000    0.000    0.004    0.000 __init__.py:1347(_add_data_doc)
     8932    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
        8    0.000    0.000    0.003    0.000 axis.py:944(set_tick_params)
        1    0.000    0.000    0.003    0.003 scope.py:1(<module>)
        1    0.000    0.000    0.003    0.003 py3k.py:1(<module>)
     1105    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.003    0.003 style.py:1(<module>)
        1    0.000    0.000    0.003    0.003 common.py:1(<module>)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
       18    0.000    0.000    0.003    0.000 rcsetup.py:799(validate_cycler)
       15    0.000    0.000    0.003    0.000 _make.py:1489(wrap)
        1    0.000    0.000    0.003    0.003 common.py:8(pyparsing_common)
     6852    0.002    0.000    0.003    0.000 enum.py:686(__call__)
        1    0.000    0.000    0.003    0.003 PngImagePlugin.py:1(<module>)
        2    0.000    0.000    0.003    0.002 _base.py:3157(grid)
        4    0.000    0.000    0.003    0.001 axis.py:1658(grid)
       57    0.000    0.000    0.003    0.000 dataclasses.py:413(_create_fn)
       14    0.000    0.000    0.003    0.000 dataclasses.py:1202(dataclass)
        1    0.000    0.000    0.003    0.003 converters.py:1(<module>)
